生理性別,年齡,你多常在網路上交友？,你較常使用哪種設備上網？,其他,你較常在下列哪些網路社群媒體交友？（複選）,我會想要使用此聊天機器人,我認為使用聊天機器人對於我來說可能有困難,我能接受在我身處網路誘拐風險時，此聊天機器人向緊急聯絡人傳送通知,我不信任系統對於網路誘拐的判斷結果，這降低我使用此聊天機器人的意願,比起家長／我的主要照護者干涉我的交友情況，我更能接受聊天機器人和我互動,我認為使用此聊天機器人可能會侵犯我和他人對話的隱私，這降低我使用此聊天機器人的意願,我認為此聊天機器人的存在是有其必要的,我希望此聊天機器人的形象是,導致你不想使用此聊天機器人的可能原因為何？,你認為此聊天機器人以什麼方式提醒你會更好？,除了上述功能以外，你認為此聊天機器人還應該添加什麼其他功能？,填答時間,填答秒數
女,15~17歲,幾乎沒有,手機,,我很少在網路上交友,普通,不同意,同意,普通,不同意,普通,同意,"非人類
溫和親切的",,,,2022/7/14 18:45,130
女,15~17歲,每天都有,筆記型／桌上型 電腦,,"Instagram
Discord／DC
線上遊戲",同意,普通,普通,普通,普通,同意,同意,"非人類
女性
俏皮活潑的",隱私問題,,,2022/7/14 19:41,333
女,15~17歲,幾乎沒有,手機,,"Facebook
Instagram",同意,普通,同意,不同意,非常同意,普通,普通,"非人類
溫和親切的
俏皮活潑的",長得像人一樣,彈跳視窗,在我無聊的時候陪我玩,2022/7/14 20:32,205
男,15~17歲,幾乎沒有,筆記型／桌上型 電腦,,"Facebook
Instagram",普通,同意,同意,不同意,不同意,同意,普通,"人類
溫和親切的
俏皮活潑的",與人互動比較能感受到溫暖,你覺得他說的是真的嗎？好好想想吧～不要被騙了哦！！,聊天前後提供壓力測試,2022/7/14 20:44,235
女,6~11歲,幾乎沒有,手機,,我很少在網路上交友,同意,不同意,同意,不同意,同意,不同意,同意,"非人類
女性
俏皮活潑的",個資問題,直接提醒：此人已提及網路誘拐之關鍵字,cut the internet for awhile,2022/7/14 20:44,302
女,12~14歲,幾乎沒有,手機,,我很少在網路上交友,不同意,非常不同意,普通,非常同意,不同意,非常同意,不同意,"非人類
非二元性別／沒有性別",不好玩,遊戲,沒有,2022/7/14 21:37,128
女,18歲以上,每月1次以上,手機,,"Instagram
Line",同意,同意,同意,同意,同意,同意,同意,"溫和親切的
俏皮活潑的",無,訊息,表情符號,2022/7/14 22:06,76
男,15~17歲,每天都有,手機,,"Facebook
Line",非常同意,不同意,同意,不同意,同意,普通,同意,非人類,不夠真實,語音提醒,聊瑟瑟話題,2022/7/14 22:14,155
女,15~17歲,每天都有,手機,,"Facebook
Instagram
Line",不同意,普通,同意,同意,同意,普通,普通,"非二元性別／沒有性別
溫和親切的",怕外流,溫馨提醒,談心,2022/7/14 23:14,125
女,18歲以上,幾乎沒有,手機,,我很少在網路上交友,同意,普通,同意,普通,普通,同意,同意,"溫和親切的
俏皮活潑的",,,,2022/7/14 23:15,347
